poi_id,osm_id,name,category,latitude,longitude,itinerary_category,is_itinerary_candidate
HYD000030,6308263552,Sri durga wines,alcohol,17.3707998,78.5686585,Unclassified,False
HYD000031,11373182370,Teja Liquor Mart,alcohol,17.4115169,78.6069255,Unclassified,False
HYD000032,2710845164,Teja Wines,alcohol,17.4987618,78.4761238,Unclassified,False
HYD000033,2715296904,Varuni Wines,alcohol,17.4102593,78.4858425,Unclassified,False
HYD000034,1490677687,wines,alcohol,17.4853118,78.3880619,Unclassified,False
HYD000035,9903794526,wines,alcohol,17.5162453,78.4386553,Unclassified,False
HYD000036,7035236525,Funcity,amusement_arcade,17.4350914,78.3870555,Entertainment,True
HYD000037,1452947121,Animal Care Center,animal_shelter,17.381514959999997,78.58407276000001,Unclassified,False
HYD000038,5732474110,Dog Shelter,animal_shelter,17.3361596,78.2901619,Unclassified,False
HYD000039,5732474111,"Rabbits,Ducks's Place",animal_shelter,17.3361346,78.2896005,Unclassified,False
HYD000040,5695963021,Abdul rahman villa,apartment,17.3276108,78.4895856,Unclassified,False
HYD000041,6661384685,Amrit Kunj,apartment,17.491856,78.3945473,Unclassified,False
HYD000042,9106479217,Aparna Lake breeze,apartment,17.5046931,78.3279275,Unclassified,False
HYD000043,12823920797,Armsburg Myspace Apartments,apartment,17.5130837,78.4684815,Unclassified,False
HYD000044,7113472585,Asritha Residency,apartment,17.4884225,78.3874437,Unclassified,False
HYD000045,6393768685,Bava's house,apartment,17.4238328,78.5469924,Unclassified,False
HYD000046,6683544285,Bhavya's Classic Enclave,apartment,17.4942185,78.3610307,Unclassified,False
HYD000047,10604131905,Bliss Gruha Gayar Home,apartment,17.4415006,78.5106222,Unclassified,False
HYD000048,7113999485,Concrete Tannam appartments,apartment,17.4874537,78.3150033,Unclassified,False
HYD000049,5405055431,DSR service Apartment,apartment,17.4438455,78.3575392,Unclassified,False
HYD000050,6661384785,EWS 6,apartment,17.49174,78.3944331,Unclassified,False
HYD000051,5835835110,Finbot Pvt Ltd,apartment,17.4498634,78.3861471,Unclassified,False
HYD000052,5409428780,GK Towers,apartment,17.4771018,78.5518741,Unclassified,False
HYD000053,5409431543,GK Towers,apartment,17.4771466,78.5518846,Unclassified,False
HYD000054,10221920317,Greenspace The Hive,apartment,17.3950104,78.3674476,Unclassified,False
HYD000055,13438060878,Hideaway apartment,apartment,17.4149659,78.5429824,Unclassified,False
HYD000056,5973746885,Home,apartment,17.4010398,78.4474998,Unclassified,False
HYD000057,6251431785,Huda Residency,apartment,17.4374546,78.405262,Unclassified,False
HYD000058,8223959419,Hyderabad Home,apartment,17.4778723,78.3950607,Unclassified,False
HYD000059,10019985319,Ishta City Apartments,apartment,17.3704639,78.4199372,Unclassified,False
HYD000060,7113691485,JP Heights,apartment,17.37454,78.5211158,Unclassified,False
HYD000061,9093739917,Jamuna Tirth Apartments,apartment,17.4433482,78.4527516,Unclassified,False
HYD000062,10019993017,Janapriya Apartments Block 1,apartment,17.3675521,78.4225662,Unclassified,False
HYD000063,10019993117,Janapriya Apartments Block 2,apartment,17.367215,78.4221488,Unclassified,False
HYD000064,10019985321,Janapriya Utopia,apartment,17.3658672,78.4211984,Unclassified,False
HYD000065,5643454631,Kistareddypet,apartment,17.5467403,78.2954405,Unclassified,False
HYD000066,5695963022,Koh e sar colony,apartment,17.4085847,78.4064842,Unclassified,False
HYD000067,9628964817,Konain Towers,apartment,17.4112881,78.4946984,Unclassified,False
HYD000068,9914734217,Kondal Reddy Apartments,apartment,17.3691031,78.4168602,Unclassified,False
HYD000069,7113449087,Lakshmi Nivasam,apartment,17.487043,78.3880044,Unclassified,False
HYD000070,12378851834,Landmark Residency,apartment,17.492775,78.3394623,Unclassified,False
HYD000071,13415496008,Let Home,apartment,17.4109065,78.4255682,Unclassified,False
HYD000072,7113766685,Marshalla house,apartment,17.4541358,78.3996272,Unclassified,False
HYD000073,10230150917,Metro classique apartments,apartment,17.3990859,78.4591894,Unclassified,False
HYD000074,6172967685,Mirsawar Ali manzil,apartment,17.3465569,78.4171434,Unclassified,False
HYD000075,10019985320,Nandanavanam Apartments,apartment,17.3707838,78.421696,Unclassified,False
HYD000076,11215717237,Navya Gruha Apartments,apartment,17.3707552,78.5515786,Unclassified,False
HYD000077,5487043854,NavyaTeja Residency,apartment,17.4964543,78.4048103,Unclassified,False
HYD000078,6199003785,P.S. Residency,apartment,17.3956719,78.5288891,Unclassified,False
HYD000079,6199003787,P.S. Residency Apartment,apartment,17.3937957,78.5310118,Unclassified,False
HYD000080,7169979885,Pasha Court,apartment,17.4280616,78.4545981,Unclassified,False
HYD000081,7113460985,Pavani Apartments,apartment,17.4872708,78.3878284,Unclassified,False
HYD000082,10019985222,Pearl Heights,apartment,17.3707849,78.4224198,Unclassified,False
HYD000083,9899788478,Prathyusha Prestige,apartment,17.4319398,78.4370408,Unclassified,False
HYD000084,9914725218,RNR Fort View Towers,apartment,17.3681278,78.4153778,Unclassified,False
HYD000085,10019985223,Rajapushpa Apartments,apartment,17.3707823,78.4220438,Unclassified,False
HYD000086,5405053399,Ranga prasad enclave,apartment,17.4425024,78.3558156,Unclassified,False
HYD000087,6855217285,SMR Vinay Acropolis,apartment,17.4557112,78.3710951,Unclassified,False
HYD000088,5256971322,SVR Towers-Srinivas Nagar Colony-Nizampet,apartment,17.5191185,78.3896635,Unclassified,False
HYD000089,5927975186,Sai Anurag colony,apartment,17.5270599,78.349988,Unclassified,False
HYD000090,7113623285,Sai Durga vihar apartment,apartment,17.4388381,78.4471959,Unclassified,False
HYD000091,6414234386,"Sai Teja Nilayam, Hig:11",apartment,17.486171,78.3875326,Unclassified,False
HYD000092,356203796,Sathyasai Residency,apartment,17.462656710344824,78.34738214827586,Unclassified,False
HYD000093,6746235086,Shadrack house,apartment,17.5064329,78.3545248,Unclassified,False
HYD000094,6138532486,Shanmayi Residency,apartment,17.3655109,78.5288402,Unclassified,False
HYD000095,6681306785,Shanti nivas,apartment,17.480405,78.4756873,Unclassified,False
HYD000096,6734373717,Sherya's Park Front Apartments,apartment,17.4120574,78.3835951,Unclassified,False
HYD000097,6773783073,Shreya's Park Front,apartment,17.4124814,78.3840267,Unclassified,False
HYD000098,5600698424,Sindhura Apartments,apartment,17.4878422,78.3902656,Unclassified,False
HYD000099,7018075185,Sirisha residency,apartment,17.3925916,78.4978554,Unclassified,False
HYD000100,9343115518,Sree Towers,apartment,17.5191782,78.3807285,Unclassified,False
HYD000101,3523097049,Sri Jyothi Residency,apartment,17.4283219,78.5477934,Unclassified,False
HYD000102,6199003886,Sri Sai Garden,apartment,17.3947449,78.5299295,Unclassified,False
HYD000103,11362456369,Sri Sri Balaji Heights II,apartment,17.5162363,78.4854406,Unclassified,False
HYD000104,9093662217,Sriniketan Apartment,apartment,17.4430241,78.452818,Unclassified,False
HYD000105,9107397017,Sriniketan Apartments,apartment,17.4430396,78.4528443,Unclassified,False
HYD000106,5679710246,Subhavandanam,apartment,17.368185,78.5514374,Unclassified,False
HYD000107,5893531890,Surabhi Heaven,apartment,17.3274833,78.2802087,Unclassified,False
HYD000108,7113615186,Surya Shelters 1,apartment,17.5341581,78.5162956,Unclassified,False
HYD000109,7113615187,Surya Shelters 1,apartment,17.5342698,78.5166612,Unclassified,False
HYD000110,6199003786,Suvidha School,apartment,17.3947551,78.530175,Unclassified,False
HYD000111,5915271186,Swathi Apartment,apartment,17.3742914,78.5109923,Unclassified,False
HYD000112,5679713609,Tangrilla Homes,apartment,17.3436985,78.5705032,Unclassified,False
HYD000113,10725352505,VJ Residency,apartment,17.4399616,78.3851953,Unclassified,False
HYD000114,5424401767,Vajra nivas,apartment,17.4782517,78.5516617,Unclassified,False
HYD000115,5487042523,Varsha Residency,apartment,17.4909344,78.3932956,Unclassified,False
HYD000116,5855873309,Varshita Residency,apartment,17.4909899,78.3933199,Unclassified,False
HYD000117,7113615185,Vijaya Residency,apartment,17.5338686,78.5165124,Unclassified,False
HYD000118,6414234385,Vijaya Sai Enclave,apartment,17.4861142,78.3876465,Unclassified,False
HYD000119,7695301886,Whistling Woods,apartment,17.3838003,78.3359034,Unclassified,False
HYD000120,12829316411,ZR Ivory Towers,apartment,17.5119222,78.4684251,Unclassified,False
HYD000121,6283694885,krishna chaitanya Bhavineni,apartment,17.4975263,78.4305896,Unclassified,False
HYD000122,1120061213,vaishnovi apartments;TNR Vaishnovi's apartments,apartment,17.4303855,78.55505464,Unclassified,False
HYD000123,14107474772,Agromech,appliance,17.4542849,78.4975667,Shopping,True
HYD000124,7570681970,Anand Home Appliances,appliance,17.4788816,78.5136125,Shopping,True
HYD000125,11771783698,Bajaj Electronics,appliance,17.4083542,78.4010015,Shopping,True
HYD000126,11771783699,Bajaj Electronics,appliance,17.4030288,78.4108058,Shopping,True
HYD000127,11772090400,Bajaj Electronics,appliance,17.4960675,78.3655545,Shopping,True
HYD000128,13208186044,Bajaj Electronics,appliance,17.4233643,78.4546004,Shopping,True
HYD000129,13227657220,Bajaj Electronics,appliance,17.4060582,78.4646836,Shopping,True
HYD000130,13208144255,IFB,appliance,17.4709588,78.4272873,Shopping,True
HYD000131,6570905743,MM Chandra Wet Grinder,appliance,17.4224641,78.5661119,Shopping,True
HYD000132,13965391457,Reliance Digital,appliance,17.4278804,78.3283531,Shopping,True
HYD000133,11772090402,Sonovison,appliance,17.4978198,78.3792464,Shopping,True
HYD000134,8386545885,Lakshmi Ganesh Aquarium,aquarium,17.5185807,78.3957388,Entertainment,True
HYD000135,355725660,Ocean Blue Aquariums,aquarium,17.52476266,78.37144599999999,Entertainment,True
HYD000136,4636434310,aq,aquarium,17.4181258,78.4822357,Entertainment,True
HYD000137,6808260893,18 Steps,archaeological_site,17.3897401,78.3950617,Culture & Heritage,True
HYD000138,6808260911,Golconda Jail,archaeological_site,17.3896604,78.3964049,Culture & Heritage,True
HYD000139,933350847,Golconda Jail,archaeological_site,17.38966198,78.39642404,Culture & Heritage,True
HYD000140,933350848,Golkonda Reservoir,archaeological_site,17.38902402,78.40152026000001,Culture & Heritage,True
HYD000141,4313322315,Gulzar houz (fountain),archaeological_site,17.3634508,78.4749992,Culture & Heritage,True
HYD000142,318606404,Khairunissa Tomb,archaeological_site,17.409105539999995,78.46360968000002,Culture & Heritage,True
HYD000143,6377172957,Megalithic Burial Site,archaeological_site,17.4622523,78.3342027,Culture & Heritage,True
HYD000144,238192600,Moghalpura Tomb,archaeological_site,17.357317542857142,78.47641245714286,Culture & Heritage,True
HYD000145,238192345,Purani Haveli,archaeological_site,17.365289844444444,78.48274120555556,Culture & Heritage,True
HYD000146,253509394,Qutub Shahi Tombs,archaeological_site,17.395602139473684,78.39644539473684,Culture & Heritage,True
HYD000147,9923836904,The Heritage well,archaeological_site,17.4244789,78.5255086,Culture & Heritage,True
HYD000148,332097820,Tomb,archaeological_site,17.40344898,78.39998604,Culture & Heritage,True
HYD000149,8651547296,Victory Cannon - Fateh Rahbar,archaeological_site,17.3898461,78.3948926,Culture & Heritage,True
HYD000150,14102765701,Hyderi Design Studio,art,17.4252849,78.4226483,Culture & Heritage,True
HYD000151,7244207465,Indian Arts Banners,art,17.3362421,78.5745577,Culture & Heritage,True
HYD000152,776421957,Indian Arts Banners,art,17.33626076,78.57454952,Culture & Heritage,True
HYD000153,5994099240,Utkalika,art,17.4031231,78.4660077,Culture & Heritage,True
HYD000154,95971680,Hyderabad International Convention Centre,arts_centre,17.472777472727273,78.37356276363636,Culture & Heritage,True
HYD000155,1334695975,Lamakaan,arts_centre,17.4210695,78.4472747,Culture & Heritage,True
HYD000156,5695396239,Alluri Sitaramaraju,artwork,17.4202188,78.4836894,Culture & Heritage,True
HYD000157,13287712050,Ambedkar,artwork,17.450893,78.3690817,Culture & Heritage,True
HYD000158,13436940709,Ambedkar Statue,artwork,17.4637659,78.4754244,Culture & Heritage,True
HYD000159,5695396238,Arthur Cotton,artwork,17.4197968,78.483324,Culture & Heritage,True
HYD000160,13532195625,B.R. Ambedkar,artwork,17.4268631,78.4527809,Culture & Heritage,True
HYD000161,885387685,BR Ambedkar statue,artwork,17.512664014285715,78.55594795714285,Culture & Heritage,True
HYD000162,4382893291,Boduppal NTR Statue;NTR Statue,artwork,17.412183,78.5856175,Culture & Heritage,True
HYD000163,13535855591,Brahma Naidu,artwork,17.4139817,78.4788458,Culture & Heritage,True
HYD000164,13348513089,Buddha,artwork,17.3366398,78.5229994,Culture & Heritage,True
HYD000165,4618969189,Chearalapalli gas plant,artwork,17.4499274,78.609894,Culture & Heritage,True
HYD000166,8389362371,DR B R Ambedkar Statue,artwork,17.4992965,78.4518896,Culture & Heritage,True
HYD000167,8212056791,Dancing Peacock,artwork,17.5165729,78.3962676,Culture & Heritage,True
HYD000168,8212056792,Dancing Peacock,artwork,17.5164258,78.3962716,Culture & Heritage,True
HYD000169,10279780116,Dr B.R Ambedhkar,artwork,17.3359639,78.5262989,Culture & Heritage,True
HYD000170,6651586866,Dr BR Abedkar,artwork,17.4948049,78.3262355,Culture & Heritage,True
HYD000171,3158888374,Dr. B R Ambedkar,artwork,17.4087432,78.4754594,Culture & Heritage,True
HYD000172,6759169595,Dr. BR Ambdekar Statue,artwork,17.4614001,78.500257,Culture & Heritage,True
HYD000173,12669657945,GANDHI STATUE,artwork,17.3859635,78.4705733,Culture & Heritage,True
HYD000174,6481309590,Ganapati statue,artwork,17.5395448,78.3860903,Culture & Heritage,True
HYD000175,6480567086,Gandhi Statue,artwork,17.4948686,78.3223719,Culture & Heritage,True
HYD000176,2783285889,Gandhi Statue;Yellamma Banda,artwork,17.5106025,78.4068992,Culture & Heritage,True
HYD000177,7465741955,Gandhi statue,artwork,17.492972,78.4595429,Culture & Heritage,True
HYD000178,13535855578,Gurram Jashuva,artwork,17.4172597,78.4812606,Culture & Heritage,True
HYD000179,6481309591,Hanuman Statue,artwork,17.5413805,78.3867629,Culture & Heritage,True
HYD000180,6575821829,Indhira Gandhi Bust,artwork,17.4190599,78.5651672,Culture & Heritage,True
HYD000181,5087783869,India home,artwork,17.4067161,78.4115038,Culture & Heritage,True
HYD000182,5774457979,Indira Gandhi,artwork,17.4541561,78.3788896,Culture & Heritage,True
HYD000183,2709066939,Indira Gandhi statue,artwork,17.3683494,78.5250179,Culture & Heritage,True
HYD000184,2710960045,Iqbal Minar,artwork,17.4067575,78.4675413,Culture & Heritage,True
HYD000185,13673824532,Jhansi rani Laxmi Bhai statue,artwork,17.370997,78.463625,Culture & Heritage,True
HYD000186,3598261403,KL technical services,artwork,17.4448891,78.4758544,Culture & Heritage,True
HYD000187,10722816683,Kakatiya Kala Toranam,artwork,17.3867143,78.3517809,Culture & Heritage,True
HYD000188,5695396233,Kandukuri Veeresalingam,artwork,17.4185623,78.4823255,Culture & Heritage,True
HYD000189,13535855588,Kshetrayya,artwork,17.4149032,78.4793665,Culture & Heritage,True
HYD000190,5177853521,Lord Buddha,artwork,17.4155839,78.4749604,Culture & Heritage,True
HYD000191,6651586865,Lord Budha,artwork,17.495267,78.3251612,Culture & Heritage,True
HYD000192,4359575890,Madivada House,artwork,17.4467707,78.4476723,Culture & Heritage,True
HYD000193,13673515307,Maharana Pratap statue,artwork,17.3713735,78.4695435,Culture & Heritage,True
HYD000194,9679249353,Mahatma Gandhi Statue,artwork,17.4134182,78.5179707,Culture & Heritage,True
HYD000195,13535855576,Maqdoom Mohiuddin,artwork,17.4182153,78.482039,Culture & Heritage,True
HYD000196,13536912462,Molla,artwork,17.4135508,78.4785704,Culture & Heritage,True
HYD000197,13535855579,Mutnuri Krishnarao,artwork,17.4169625,78.4810305,Culture & Heritage,True
HYD000198,7794408129,NTR,artwork,17.460627,78.5353649,Culture & Heritage,True
HYD000199,10722816682,Nandi Statue,artwork,17.386475,78.3508052,Culture & Heritage,True
HYD000200,6651585139,P Janardhan Reddy,artwork,17.4947961,78.3282759,Culture & Heritage,True
HYD000201,8107894705,PJR Statue,artwork,17.4541242,78.4225591,Culture & Heritage,True
HYD000202,7174411621,PJR statue,artwork,17.4304343,78.4053299,Culture & Heritage,True
HYD000203,3388789885,Paparayudu Statue,artwork,17.4845469,78.4144065,Culture & Heritage,True
HYD000204,5695396235,Pingali Venkayya,artwork,17.4189819,78.4826668,Culture & Heritage,True
HYD000205,13535855589,Potuluri Veerabrahmendra Swami,artwork,17.4145902,78.4791665,Culture & Heritage,True
HYD000206,7672845180,Professor Jaya Shankar Statue,artwork,17.5095234,78.4073448,Culture & Heritage,True
HYD000207,13535855582,Raghupati Venkataratnam Naidu,artwork,17.4163027,78.4805319,Culture & Heritage,True
HYD000208,6651585137,Rajiv Gandhi Bust,artwork,17.4935425,78.3278113,Culture & Heritage,True
HYD000209,13535855584,Ramadasu,artwork,17.4156734,78.4799885,Culture & Heritage,True
HYD000210,1456251125,Ramoji Film City sign,artwork,17.30335484,78.67949672,Culture & Heritage,True
HYD000211,4105782396,SMaCkY's WESTERN MUSIC PRODUCTIONS,artwork,17.3683579,78.5560246,Culture & Heritage,True
HYD000212,6481309596,Saraswati Statue,artwork,17.538323,78.3847786,Culture & Heritage,True
HYD000213,6581444880,Sardar Sarvai Papanna Goud Maharaj Statue,artwork,17.4161083,78.5656974,Culture & Heritage,True
HYD000214,4640250438,Shiva Sculpture,artwork,17.4066269,78.487062,Culture & Heritage,True
HYD000215,12854677475,Shivaji statue,artwork,17.3964386,78.5297924,Culture & Heritage,True
HYD000216,13535855587,Sri Krishnadevaraya,artwork,17.4153652,78.4797451,Culture & Heritage,True
HYD000217,13535855580,Sri Sri,artwork,17.4165611,78.4807275,Culture & Heritage,True
HYD000218,13535855577,Suravaram Pratapa Reddy,artwork,17.4176759,78.481605,Culture & Heritage,True
HYD000219,5910138918,Swami Vivekananda Bust,artwork,17.337224,78.3917959,Culture & Heritage,True
HYD000220,6575821828,Swami Vivekananda Statue,artwork,17.4212349,78.5642235,Culture & Heritage,True
HYD000221,4377408598,T V Rao House,artwork,17.4212626,78.4521219,Culture & Heritage,True
HYD000222,883082812,Telangana Martyrs Memorial,artwork,17.5184889,78.39628744,Culture & Heritage,True
HYD000223,6934744456,Three Wise Monkeys,artwork,17.5185706,78.3962652,Culture & Heritage,True
HYD000224,8212056790,Three Wise Monkeys,artwork,17.5187458,78.3963038,Culture & Heritage,True
HYD000225,5695396237,Tripuraneni Ramaswamy Chowdhary,artwork,17.4194197,78.4830017,Culture & Heritage,True
HYD000226,8212081015,Trumpetting Elephant,artwork,17.5209248,78.3963149,Culture & Heritage,True
HYD000227,8212081016,Trumpetting Elephant,artwork,17.5207894,78.3963145,Culture & Heritage,True
HYD000228,13535855583,Tyagayya,artwork,17.4160529,78.4803232,Culture & Heritage,True
HYD000229,5774459978,Y S Rajashekar Reddy,artwork,17.4519876,78.3915,Culture & Heritage,True
HYD000230,5714129422,imran bhai home,artwork,17.3812802,78.4587891,Culture & Heritage,True
HYD000231,2710980815,know concepts designs,artwork,17.4320872,78.4923799,Culture & Heritage,True
HYD000232,5258266422,omer bhai farm house,artwork,17.359726,78.2417418,Culture & Heritage,True
HYD000233,2713857911,pjr statue,artwork,17.4299564,78.4252582,Culture & Heritage,True
HYD000234,2712509505,vistar graphics,artwork,17.4027157,78.4937938,Culture & Heritage,True
HYD000235,6690779948,APCOB-AP State Government Cooperative Bank,atm,17.3950969,78.4912393,Services,False
HYD000236,2710872044,ATM,atm,17.499461,78.4758073,Services,False
HYD000237,3312374440,ATM,atm,17.3939835,78.4787602,Services,False
HYD000238,2217950173,AXIS,atm,17.3284458,78.5996995,Services,False
HYD000239,3353593494,AXIS BANK ATM,atm,17.3738038,78.5619583,Services,False
HYD000240,6822126485,Adarsh Co Operative Bank Atm,atm,17.514555,78.447519,Services,False
HYD000241,5405059611,Allahabad bank,atm,17.4443054,78.3627759,Services,False
HYD000242,2217950132,Andhra Bank,atm,17.3298207,78.5954456,Services,False
HYD000243,2217960495,Andhra Bank,atm,17.3682787,78.5248122,Services,False
HYD000244,5572458227,Andhra Bank,atm,17.501827,78.5387928,Services,False
HYD000245,349938549,Andhra Bank ATM,atm,17.4420397,78.4410243,Services,False
HYD000246,4499056870,Andhra Bank ATM,atm,17.4192893,78.3750384,Services,False
HYD000247,5539027938,Andhra Bank ATM,atm,17.4101857,78.6047289,Services,False
HYD000248,5608454993,Andhra Bank ATM,atm,17.4202552,78.5167129,Services,False
HYD000249,6847914757,Andhra Bank ATM,atm,17.4488476,78.4327648,Services,False
HYD000250,7021303607,Andhra Bank ATM,atm,17.433796,78.4054923,Services,False
HYD000251,11545585943,Andhra Bank ATM,atm,17.2364729,78.4294234,Services,False
HYD000252,6295709106,Axis,atm,17.398822,78.4456857,Services,False
HYD000253,6295712747,Axis,atm,17.4552243,78.5659341,Services,False
HYD000254,10171342022,Axis ATM,atm,17.4455652,78.3922408,Services,False
HYD000255,6822126582,Axis Atm,atm,17.4793711,78.3200302,Services,False
HYD000256,1050823780,Axis Bank,atm,17.4623019,78.4900832,Services,False
HYD000257,2217968818,Axis Bank,atm,17.4035108,78.4083699,Services,False
HYD000258,2217968820,Axis Bank,atm,17.4071759,78.4017279,Services,False
HYD000259,2710750867,Axis Bank,atm,17.3297193,78.5692518,Services,False
HYD000260,2710853093,Axis Bank,atm,17.4993766,78.4764098,Services,False
HYD000261,3166260337,Axis Bank,atm,17.4360803,78.4276537,Services,False
HYD000262,5608454711,Axis Bank,atm,17.4214381,78.517138,Services,False
HYD000263,6684817725,Axis Bank,atm,17.4421893,78.440413,Services,False
HYD000264,9887289820,Axis Bank,atm,17.5111246,78.3843611,Services,False
HYD000265,1447172192,Axis Bank ATM,atm,17.3991374,78.4808419,Services,False
HYD000266,6850830221,Axis Bank ATM,atm,17.2083461,78.476849,Services,False
HYD000267,7944527163,Axis Bank ATM,atm,17.4697227,78.4271961,Services,False
HYD000268,8065632052,Axis Bank ATM,atm,17.5224753,78.3965301,Services,False
HYD000269,7025820835,Axis Bank Atm,atm,17.4506503,78.391516,Services,False
HYD000270,5405060917,Axis bank,atm,17.4447428,78.3628972,Services,False
HYD000271,6408252032,Axis bank ATM,atm,17.5135812,78.3880732,Services,False
HYD000272,6822126482,Axis bank Atm,atm,17.5419771,78.433955,Services,False
HYD000273,7043571452,BOI ATM,atm,17.4442592,78.3874467,Services,False
HYD000274,894082505,Bank of Baroda,atm,17.4151831,78.4464856,Services,False
HYD000275,9914161656,Bank of Baroda,atm,17.3320559,78.5890402,Services,False
HYD000276,9885108779,Bank of India,atm,17.3509112,78.4728996,Services,False
HYD000277,9887289849,Bank of India,atm,17.5269117,78.3692745,Services,False
HYD000278,5572458226,Bank of baroda,atm,17.50185,78.5388069,Services,False
HYD000279,355647265,Canara Bank,atm,17.4415542,78.4466539,Services,False
HYD000280,1306268400,Canara Bank,atm,17.4838565,78.4982157,Services,False
HYD000281,2466618707,Canara Bank,atm,17.4281657,78.5324339,Services,False
HYD000282,8193157691,Canara Bank,atm,17.5221489,78.3964721,Services,False
HYD000283,5539327281,Canara Bank ATM,atm,17.41944,78.5180975,Services,False
HYD000284,6710912136,Canara Bank ATM,atm,17.4263622,78.5154507,Services,False
HYD000285,6822126532,Canara Bank ATM,atm,17.4486978,78.4327553,Services,False
HYD000286,6822126580,Canara Bank ATM,atm,17.4694819,78.418869,Services,False
HYD000287,3010475766,Central Bank of India,atm,17.4444022,78.467713,Services,False
HYD000288,7021303606,Citi bank ATM,atm,17.4373057,78.3853732,Services,False
HYD000289,2466619030,Citibank,atm,17.4271625,78.5316212,Services,False
HYD000290,4700634991,City bank ATM,atm,17.4427907,78.3572026,Services,False
HYD000291,2794877125,Corporation Bank,atm,17.4407095,78.4900713,Services,False
HYD000292,6468199886,DCB Bank,atm,17.4946496,78.3267916,Services,False
HYD000293,2712662377,DCB Bank ATM,atm,17.4118417,78.4890161,Services,False
HYD000294,7025820878,DCB Bank Atm,atm,17.44045,78.393417,Services,False
HYD000295,5539327283,Dena Bank ATM,atm,17.4195437,78.5186273,Services,False
HYD000296,6822126591,Dena Bank ATM,atm,17.372457,78.522909,Services,False
HYD000297,4531883811,Dhanalakshmi Bank ATM,atm,17.4943811,78.4020135,Services,False
HYD000298,3523097905,Dhanlaxmi Bank ATM,atm,17.4828411,78.413664,Services,False
HYD000299,2217950165,HDFC,atm,17.3303532,78.5940267,Services,False
HYD000300,2217950194,HDFC,atm,17.3370589,78.5734836,Services,False
HYD000301,2460048662,HDFC,atm,17.4020034,78.4951821,Services,False
HYD000302,2412772337,HDFC ATM,atm,17.3738974,78.5617176,Services,False
HYD000303,5539317123,HDFC ATM,atm,17.4193338,78.519389,Services,False
HYD000304,6758497446,HDFC ATM,atm,17.4206689,78.5009442,Services,False
HYD000305,10171342021,HDFC ATM,atm,17.4454861,78.3922374,Services,False
HYD000306,10277946533,HDFC ATM,atm,17.404037,78.5632523,Services,False
HYD000307,352750008,HDFC Bank,atm,17.4424647,78.4427025,Services,False
HYD000308,5572458228,HDFC Bank,atm,17.5022075,78.5391851,Services,False
