poi_a,poi_b,name_a,name_b,category_a,category_b,itinerary_category_a,itinerary_category_b,latitude_a,longitude_a,latitude_b,longitude_b,distance_m,name_similarity,same_itinerary_category,decision
HYD004457,HYD034878,Rekha Fashions,Zivame,clothes,stationery,Shopping,Shopping,17.4783136,78.5600584,17.4783312,78.5600718,2.422,0.1,True,Likely Distinct
HYD004509,HYD034818,Subham Trendy,Bisleri,clothes,stationery,Shopping,Shopping,17.4739304,78.5689747,17.473918,78.5689935,2.427,0.2,True,Likely Distinct
HYD033718,HYD034872,Pithapuram Chicken Pakodi,Swaraj Photo &Videography,restaurant,stationery,Food,Shopping,17.4758162,78.5675276,17.4758304,78.5675092,2.513,0.204,False,Likely Distinct
HYD004358,HYD005564,LEVEIS CLOTHES,TITAN WORLD WATCHES,clothes,electronics,Shopping,Shopping,17.4785481,78.5596121,17.47857,78.5596181,2.52,0.364,True,Likely Distinct
HYD032261,HYD032576,Navagraha Mandapam,Subrahmanya Mandapam,place_of_worship,place_of_worship,Religion,Religion,17.5572366,78.3630893,17.5572139,78.3630873,2.536,0.684,True,Likely Distinct
HYD001964,HYD001968,RIO,Rio Cafe,cafe,cafe,Food,Food,17.440518,78.49563782,17.4404949,78.4956406,2.588,0.545,True,Likely Distinct
HYD003734,HYD003755,Asian Mukta Cinemas (Konark),Konark theatre,cinema,cinema,Entertainment,Entertainment,17.3678946,78.5243451,17.367873633333332,78.52435604,2.607,0.3,True,Likely Distinct
HYD001622,HYD005483,Spark Academy,Ajay mobiles,books,electronics,Shopping,Shopping,17.4736598,78.5696556,17.4736829,78.569661,2.635,0.08,True,Likely Distinct
HYD004504,HYD004537,Sri Nithya Boutique Maggam Works,Vaishnavi Collections,clothes,clothes,Shopping,Shopping,17.4203447,78.5654535,17.4203587,78.5654334,2.643,0.302,True,Likely Distinct
HYD006856,HYD033856,EzyStay,Spicy Hub,guest_house,restaurant,Accommodation,Food,17.4449064,78.3874014,17.4448983,78.3873777,2.674,0.125,False,Likely Distinct
HYD008953,HYD033884,Surya Residency,Suprabhat Tiffins,hotel,restaurant,Accommodation,Food,17.4412748,78.4484934,17.4412523,78.4484844,2.681,0.375,False,Likely Distinct
HYD031363,HYD033703,Just Bake,Parathas,pastry,restaurant,Food,Food,17.4619853,78.3672975,17.4620094,78.3672971,2.683,0.118,True,Likely Distinct
HYD032202,HYD032203,Masjid-E-Ahmediya,Masjid-E-Ahmediya (Ahle-Sunnat-Ul-Jamath),place_of_worship,place_of_worship,Religion,Religion,17.5084043,78.6148399,17.50840136,78.61481481999999,2.684,0.607,True,Likely Distinct
HYD003773,HYD009401,"PVR Cinemas, Icon",PVR Icon,cinema,mall,Entertainment,Shopping,17.4481318,78.3844627,17.448150572727272,78.38444619090909,2.728,0.667,False,Likely Distinct
HYD000568,HYD005812,Galaxy Bakery,Galaxy fast food,bakery,fast_food,Food,Food,17.4446435,78.5258361,17.444654,78.5258126,2.756,0.552,True,Likely Distinct
HYD005841,HYD005967,KFC,Subway,fast_food,fast_food,Food,Food,17.4900784,78.3927776,17.4901001,78.3927901,2.756,0.0,True,Likely Distinct
HYD004479,HYD005665,Sai Vijaya Sarees Centre,Sakhi Fancy Bangle Store Maggam Works,clothes,fashion_accessories,Shopping,Shopping,17.4200139,78.5653344,17.4199997,78.5653558,2.768,0.393,True,Likely Distinct
HYD031001,HYD031043,I Love Jntuh Park,Lawns in front of Admin Block,park,park,Nature & Outdoors,Nature & Outdoors,17.4968822,78.3926433,17.496870783333335,78.39262013333332,2.769,0.217,True,Likely Distinct
HYD004301,HYD005557,Fllow me,Samsung,clothes,electronics,Shopping,Shopping,17.4074821,78.4948408,17.4074908,78.494816,2.806,0.133,True,Likely Distinct
HYD006785,HYD033207,Gifts Galore,Appetito,gift,restaurant,Shopping,Food,17.4456297,78.3859827,17.4456498,78.3859665,2.823,0.3,False,Likely Distinct
HYD033979,HYD034842,Vennela Fast Food,Narsing Stamps & Zerox,restaurant,stationery,Food,Shopping,17.4737993,78.5692513,17.4738114,78.5692275,2.864,0.378,False,Likely Distinct
HYD001603,HYD001632,Dhanalakshmi,dhanalakshmi book store,books,books,Shopping,Shopping,17.4093435,78.4898074,17.4093204,78.4897955,2.865,0.686,True,Likely Distinct
HYD004240,HYD033597,Bata Footware,Maythri Hotel,clothes,restaurant,Shopping,Food,17.4765934,78.5643965,17.4766113,78.5643771,2.866,0.462,False,Likely Distinct
HYD004392,HYD005556,Manyavar,Sai Ram Tent House & Sounds,clothes,electronics,Shopping,Shopping,17.4792167,78.5583153,17.4792061,78.5583401,2.886,0.121,True,Likely Distinct
HYD002020,HYD033958,Turning Point Cafe,Turning Point Tiffin Centre,cafe,restaurant,Food,Food,17.4194736,78.5196532,17.4194644,78.5196787,2.895,0.711,True,Likely Distinct
HYD004361,HYD004472,Laasya,Roopnikhar,clothes,clothes,Shopping,Shopping,17.4781719,78.5604949,17.4781828,78.5604699,2.919,0.125,True,Likely Distinct
HYD035115,HYD035136,Food Bazzar,Heritage,supermarket,supermarket,Shopping,Shopping,17.4637403,78.3471326,17.4637371,78.3471051,2.942,0.105,True,Likely Distinct
HYD001613,HYD033390,Pallavi,Frenchie,books,restaurant,Shopping,Food,17.4736902,78.5695416,17.4736979,78.5695148,2.973,0.133,False,Likely Distinct
HYD005536,HYD034814,Pavan Mobiles,Amulya Digital Studio,electronics,stationery,Shopping,Shopping,17.4736157,78.5698141,17.473609,78.5698419,3.045,0.235,True,Likely Distinct
HYD032404,HYD032569,Satyanarayana Swamy Temple,Sri sathyanarayana temple,place_of_worship,place_of_worship,Religion,Religion,17.3948023,78.5377241,17.39480944,78.53775184999999,3.053,0.784,True,Likely Distinct
HYD033420,HYD034034,"Green Bawarchi Restuarant,Bachupally Road",green bawarchi,restaurant,restaurant,Food,Food,17.54103208,78.39397052,17.5410394,78.3939984,3.071,0.509,True,Likely Distinct
HYD004318,HYD009177,INDIAN TERRAIN CLOTHES,Sri Ganesh Jewellers,clothes,jewelry,Shopping,Shopping,17.4784412,78.5598978,17.478417,78.5598837,3.082,0.333,True,Likely Distinct
HYD004530,HYD005556,Twills,Sai Ram Tent House & Sounds,clothes,electronics,Shopping,Shopping,17.4792077,78.5583109,17.4792061,78.5583401,3.106,0.129,True,Likely Distinct
HYD033861,HYD034010,Sri Balaji Veg,al-madini mandi house,restaurant,restaurant,Food,Food,17.3736286,78.5025092,17.3736112,78.5025321,3.109,0.343,True,Likely Distinct
HYD005904,HYD033684,Om Sai Ram Nice Vada Pav,Pan Shop,fast_food,restaurant,Food,Food,17.4448874,78.3865836,17.444902,78.3866088,3.131,0.188,True,Likely Distinct
HYD001727,HYD005124,Ameen Chicken Center,Bhavani Kirana & General Store,butcher,convenience,Food,Shopping,17.4827137,78.3205476,17.4827416,78.3205519,3.139,0.208,False,Likely Distinct
HYD031886,HYD032089,College Temple,Jntu Temple,place_of_worship,place_of_worship,Religion,Religion,17.4934213,78.3926507,17.4933928,78.3926496,3.175,0.56,True,Likely Distinct
HYD001915,HYD006198,JNTU - Canteen,Food Court,cafe,food_court,Food,Food,17.49423298,78.39277104,17.4942058,78.3927801,3.175,0.273,True,Likely Distinct
HYD005880,HYD009057,Masala Chapati Chat,S S Ice cream Parlour,fast_food,ice_cream,Food,Food,17.4947935,78.3214265,17.4947818,78.3213992,3.179,0.3,True,Likely Distinct
HYD005549,HYD009455,Reliance Digital Electronics store,reliance digital mall,electronics,mall,Shopping,Shopping,17.4048651,78.5150566,17.4048907,78.5150701,3.19,0.655,True,Likely Distinct
HYD005924,HYD033592,Rice Bowl,Maryada Ramanna,fast_food,restaurant,Food,Food,17.4580828,78.3715746,17.4581097,78.3715642,3.192,0.167,True,Likely Distinct
HYD008835,HYD008890,Hotel Supreme Parkview,OYO 7707 Corp,hotel,hotel,Accommodation,Accommodation,17.4416093,78.3903002,17.4416045,78.3903299,3.199,0.171,True,Likely Distinct
HYD004290,HYD006215,Denim,Pan Mahal,clothes,food_court,Shopping,Food,17.4745027,78.5683207,17.474523,78.5682993,3.205,0.286,False,Likely Distinct
HYD005481,HYD005561,Airtel 5gplus store,Sonata,electronics,electronics,Shopping,Shopping,17.4746114,78.5682411,17.4746319,78.5682193,3.251,0.16,True,Likely Distinct
HYD006232,HYD033148,Sri sai krishnafoodcourt,13 Dhaba,food_court,restaurant,Food,Food,17.4375187,78.3656034,17.4375004,78.3656273,3.255,0.188,True,Likely Distinct
HYD000676,HYD004487,Tirumala Bakery,Serina Shopping Mall,bakery,clothes,Food,Shopping,17.5128056,78.4470261,17.5128318,78.447012,3.279,0.229,False,Likely Distinct
HYD005052,HYD005154,Mustafa Sweets & Namkeen,Mustafa Dairy Farms,confectionery,convenience,Food,Shopping,17.4026414,78.4615805,17.4026488,78.4616104,3.281,0.439,False,Likely Distinct
HYD006234,HYD033872,Tandoori Chai,Sri Venkataeswara tiffins,food_court,restaurant,Food,Food,17.4755051,78.5676956,17.4755313,78.5676812,3.293,0.263,True,Likely Distinct
HYD001829,HYD033663,Cafe Coffee Day,Olive Kitchen,cafe,restaurant,Food,Food,17.442773,78.3556843,17.4427579,78.3557117,3.361,0.286,True,Likely Distinct
HYD005966,HYD006247,Subway,sai gokul chat,fast_food,food_court,Food,Food,17.3679097,78.5401625,17.3679354,78.5401793,3.372,0.3,True,Likely Distinct
HYD000553,HYD001622,Cake factory,Spark Academy,bakery,books,Food,Shopping,17.4736611,78.5696238,17.4736598,78.5696556,3.38,0.32,False,Likely Distinct
HYD005796,HYD033956,Drunken Monkey,Tumba Bengali Food,fast_food,restaurant,Food,Food,17.4420216,78.38814,17.4420469,78.3881578,3.392,0.312,True,Likely Distinct
HYD004474,HYD005515,S kumar clothes,Electronics Hub,clothes,electronics,Shopping,Shopping,17.473735,78.5693707,17.4737622,78.5693851,3.392,0.2,True,Likely Distinct
HYD004505,HYD005652,Sri RS Fashion,Sri Kalanjali Boutique,clothes,fabric,Shopping,Shopping,17.4078002,78.5880593,17.4078119,78.5880891,3.422,0.333,True,Likely Distinct
HYD006220,HYD034061,Rajkamal Sweet Store,midhunam Resturant,food_court,restaurant,Food,Food,17.4743024,78.5684538,17.4742826,78.5684789,3.459,0.158,True,Likely Distinct
HYD004357,HYD034813,Kumar Shirts clothes,Alie's optics,clothes,stationery,Shopping,Shopping,17.4746966,78.5681596,17.4747253,78.5681734,3.515,0.303,True,Likely Distinct
HYD005568,HYD005570,V3 Electronics,V3 Enterprises,electronics,electronics,Shopping,Shopping,17.5427483,78.4905999,17.5427277,78.490625,3.516,0.571,True,Likely Distinct
HYD005179,HYD005364,heritage fresh,ratnadeep,convenience,department_store,Shopping,Shopping,17.4098406,78.4925972,17.4098159,78.4926179,3.52,0.174,True,Likely Distinct
HYD005167,HYD005759,Spencer's,Domino's,convenience,fast_food,Shopping,Food,17.4412514,78.3589602,17.441271,78.358934,3.536,0.353,False,Likely Distinct
HYD001642,HYD009443,Aadya's Let Fashion Reign,Yurani Fashion,boutique,mall,Shopping,Shopping,17.4713003,78.4195185,17.4713322,78.4195193,3.552,0.462,True,Likely Distinct
HYD001914,HYD002016,Isabel,This The Place!,cafe,cafe,Food,Food,17.4441112,78.3847992,17.4440806,78.3847896,3.556,0.4,True,Likely Distinct
HYD001635,HYD004604,sri veerabhadra bookstore,cafe time,books,coffee,Shopping,Food,17.3672466,78.5216699,17.3672269,78.5216969,3.61,0.118,False,Likely Distinct
HYD004545,HYD005646,WOW Kids,Bhavani Textiles,clothes,fabric,Shopping,Shopping,17.4079215,78.5880268,17.4079416,78.588054,3.654,0.25,True,Likely Distinct
HYD006154,HYD035945,Florance Flora,Mahaveer General Store,florist,variety_store,Shopping,Shopping,17.4401314,78.4824366,17.4401311,78.4824022,3.654,0.222,True,Likely Distinct
HYD001915,HYD005803,JNTU - Canteen,Fast Food,cafe,fast_food,Food,Food,17.49423298,78.39277104,17.494254,78.3927976,3.665,0.19,True,Likely Distinct
HYD002017,HYD004502,Tiffin Center,Sri Jagadamba Dresses,cafe,clothes,Food,Shopping,17.4220289,78.565441,17.4220045,78.5654178,3.667,0.235,False,Likely Distinct
HYD004479,HYD005247,Sai Vijaya Sarees Centre,Mukunda Dairy Products,clothes,dairy,Shopping,Food,17.4200139,78.5653344,17.4200383,78.565311,3.682,0.174,False,Likely Distinct
HYD004333,HYD035163,Jockeys,Kirana Ghar,clothes,supermarket,Shopping,Shopping,17.4260155,78.45733,17.4260486,78.457334,3.709,0.111,True,Likely Distinct
HYD006657,HYD031656,Nehru Block Inner Areana,Badminton Court,garden,pitch,Nature & Outdoors,Recreation & Sports,17.392005614285715,78.52793852857143,17.391984700000002,78.5279113,3.713,0.256,False,Likely Distinct
HYD033504,HYD033507,Kabab,Kabab restaurant,restaurant,restaurant,Food,Food,17.4012906,78.4885491,17.4012891,78.4885841,3.721,0.476,True,Likely Distinct
HYD008931,HYD033759,Royal Residency,Rayalaseema Ruchulu,hotel,restaurant,Accommodation,Food,17.402932,78.4629554,17.4029099,78.4629818,3.73,0.412,False,Likely Distinct
HYD004484,HYD006194,Saree store,Dosa point,clothes,food_court,Shopping,Food,17.3727874,78.4690503,17.3728162,78.4690322,3.738,0.381,False,Likely Distinct
HYD001915,HYD006181,JNTU - Canteen,Canteen,cafe,food_court,Food,Food,17.49423298,78.39277104,17.4942586,78.3927471,3.821,0.737,True,Likely Distinct
HYD005008,HYD008877,Adarsh Mithai Bhandar,Meredian Orchid,confectionery,hotel,Food,Accommodation,17.4026748,78.4611804,17.4026776,78.4611445,3.826,0.278,False,Likely Distinct
HYD004288,HYD005533,Dayals Silks & Sarees,Pai International Electronics,clothes,electronics,Shopping,Shopping,17.4350796,78.4028662,17.4350554,78.4028918,3.827,0.167,True,Likely Distinct
HYD005820,HYD009174,Hot Chips,Sree Ganesh Watch Co,fast_food,jewelry,Food,Shopping,17.443883,78.3870128,17.4439125,78.3869942,3.832,0.276,False,Likely Distinct
HYD004233,HYD004499,Ayappa Matching Centre,Sree Mokshalakshmi Sarees Centre,clothes,clothes,Shopping,Shopping,17.4199198,78.5654352,17.4199412,78.5654635,3.835,0.444,True,Likely Distinct
HYD009022,HYD033284,Baskin-Robbins,Brundavan,ice_cream,restaurant,Food,Food,17.4137073,78.4071231,17.4137026,78.4070873,3.838,0.261,True,Likely Distinct
HYD001747,HYD033556,Kishore Kumar Chicken & Mutton Center,Lucky Restaurant,butcher,restaurant,Food,Food,17.4406073,78.3931213,17.4406202,78.3930877,3.847,0.275,True,Likely Distinct
HYD006088,HYD034739,SD fitness Center,Sachdev Sports Co,fitness_centre,sports,Recreation & Sports,Recreation & Sports,17.4255268,78.4568063,17.425529,78.4568429,3.895,0.412,True,Likely Distinct
HYD000602,HYD005212,Karachi Bakery,Mirrors,bakery,cosmetics,Food,Shopping,17.442794,78.3552544,17.4427664,78.3552314,3.925,0.19,False,Likely Distinct
HYD000623,HYD005241,MONGINIS cake shop,JERSEY,bakery,dairy,Food,Food,17.4745985,78.5512571,17.474572,78.5512315,4.012,0.167,True,Likely Distinct
HYD006778,HYD008904,Archies gallery,Pallavi hotel,gift,hotel,Shopping,Accommodation,17.3945009,78.4392278,17.3944984,78.4392655,4.014,0.286,False,Likely Distinct
HYD006185,HYD035184,Chat and Panipuri centre,More,food_court,supermarket,Food,Shopping,17.4021208,78.4842014,17.4021361,78.4842358,4.031,0.143,False,Likely Distinct
HYD005493,HYD008814,Bajaj Electronics,Hotel Alekhya Residency,electronics,hotel,Shopping,Accommodation,17.4064793,78.4651371,17.4065018,78.4651073,4.036,0.2,False,Likely Distinct
HYD005571,HYD033200,Vijay Stationary and Computers,Annapoorna Darshini Tiffins & Meals,electronics,restaurant,Shopping,Food,17.425369,78.4573432,17.4253327,78.4573464,4.055,0.222,False,Likely Distinct
HYD000602,HYD033348,Karachi Bakery,Diner's Pavilion,bakery,restaurant,Food,Food,17.442794,78.3552544,17.4428005,78.3552166,4.079,0.2,True,Likely Distinct
HYD006038,HYD033275,Crestal Gym,Blue Star Restaurant,fitness_centre,restaurant,Recreation & Sports,Food,17.4508957,78.4244342,17.450874,78.4244652,4.084,0.323,False,Likely Distinct
HYD000661,HYD033556,Sri Hari Hara Sweets,Lucky Restaurant,bakery,restaurant,Food,Food,17.4406288,78.3930501,17.4406202,78.3930877,4.107,0.278,True,Likely Distinct
HYD005212,HYD033348,Mirrors,Diner's Pavilion,cosmetics,restaurant,Shopping,Food,17.4427664,78.3552314,17.4428005,78.3552166,4.109,0.261,False,Likely Distinct
HYD001816,HYD005207,Cafe Coffee Day,Jawed Habib,cafe,cosmetics,Food,Shopping,17.4460255,78.3861105,17.4459967,78.3861353,4.149,0.308,False,Likely Distinct
HYD001751,HYD033261,Mutton,Bihari Mama Hotel,butcher,restaurant,Food,Food,17.4645918,78.3654624,17.4646284,78.3654699,4.151,0.174,True,Likely Distinct
HYD008726,HYD035154,Yoyo paying guests,Heritage fresh,hostel,supermarket,Accommodation,Shopping,17.4303038,78.3253726,17.4303207,78.3254078,4.185,0.188,False,Likely Distinct
HYD001630,HYD001641,Vikas,vikas book store,books,books,Shopping,Shopping,17.4091919,78.4898151,17.4092288,78.4898063,4.213,0.476,True,Likely Distinct
HYD000659,HYD001946,Sind Bakery,Mother India,bakery,cafe,Food,Food,17.4622016,78.4913567,17.4621741,78.4913844,4.246,0.348,True,Likely Distinct
HYD004305,HYD004512,Gas,Superdry,clothes,clothes,Shopping,Shopping,17.4340597,78.4050505,17.4340386,78.4050842,4.281,0.182,True,Likely Distinct
HYD004357,HYD034847,Kumar Shirts clothes,Radhakrishna Enterprises,clothes,stationery,Shopping,Shopping,17.4746966,78.5681596,17.4746742,78.5681925,4.293,0.364,True,Likely Distinct
HYD001617,HYD009058,Pushpa Books & Stationary,Scoops,books,ice_cream,Shopping,Food,17.4059065,78.5869405,17.4059449,78.5869364,4.297,0.276,False,Likely Distinct
HYD007021,HYD033865,Mallikarjuna,Sri Lakshmi Restaurant,hardware,restaurant,Shopping,Food,17.4735585,78.5700198,17.4735501,78.5700593,4.298,0.235,False,Likely Distinct
HYD009265,HYD030945,INDRAPRASTA COLONY LIBRARY,GHMC Park,library,park,Culture & Heritage,Nature & Outdoors,17.3998306,78.5211652,17.3998479,78.5212016,4.319,0.171,False,Likely Distinct
HYD005485,HYD009014,Amaron,Signora Ware,electronics,houseware,Shopping,Shopping,17.4033791,78.3910467,17.4033401,78.391042,4.37,0.333,True,Likely Distinct
HYD009061,HYD035529,Scoops Ice cream Parlour,Tea Time,ice_cream,tea,Food,Food,17.3313325,78.5883686,17.3313631,78.5883944,4.372,0.188,True,Likely Distinct
HYD004515,HYD005514,Suvidha for women,Dhanavanthri Studio,clothes,electronics,Shopping,Shopping,17.4793863,78.5576105,17.4793497,78.5575954,4.379,0.278,True,Likely Distinct
HYD005909,HYD033687,Pizza Corner,Paradise,fast_food,restaurant,Food,Food,17.4506168,78.3792198,17.4506148,78.3791786,4.381,0.3,True,Likely Distinct
