route,source,target,dijkstra_time_ms,astar_time_ms,bidirectional_dijkstra_time_ms,bidirectional_astar_time_ms,dijkstra_nodes,astar_nodes,bidirectional_dijkstra_nodes,bidirectional_astar_nodes,dijkstra_distance_km,astar_distance_km,bidirectional_dijkstra_distance_km,bidirectional_astar_distance_km,dijkstra_path_valid,astar_path_valid,bidirectional_dijkstra_path_valid,bidirectional_astar_path_valid,valid,max_distance_difference_km,path_distance_difference_km
18,11873685765,2852225775,445.17600000835955,95.09640000760555,409.43300002254546,3167.3197000054643,230777,31765,176378,583290,16.507272431611337,16.507272431611337,16.50727243161133,16.507272431611337,True,True,True,True,True,7.105427357601002e-15,7.105427357601002e-15
19,2782950415,11824415119,641.5472000371665,208.89399998122826,607.6329000061378,4721.9738000421785,378302,77236,281074,836554,27.06249059093046,27.06249059093046,27.062490590930423,27.06249059093046,True,True,True,True,True,3.552713678800501e-14,3.552713678800501e-14
20,7682289859,5765581869,374.86250000074506,46.69170000124723,191.61579996580258,1471.7372999875806,214026,16978,93219,318514,11.985820884505564,11.985820884505564,11.985820884505566,11.985820884505564,True,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
21,12240487559,2249841871,649.6509000426158,235.60499999439344,513.9047999982722,4043.1209999951534,404434,89481,239944,728876,23.43029282751336,23.43029282751336,23.430292827513377,23.43029282751336,True,True,True,True,True,1.7763568394002505e-14,1.7763568394002505e-14
22,7637619127,2724678199,48.13249997096136,13.815599959343672,54.13619999308139,343.2132999878377,36125,6251,30391,89492,11.736846511723192,11.736846511723192,11.73684651172319,11.736846511723192,True,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
23,3547294687,3579912668,39.53770000953227,4.195999994408339,18.351799983065575,156.07139997882769,27807,1695,11072,42898,4.984971860198728,4.984971860198728,4.984971860198728,4.984971860198728,True,True,True,True,True,0.0,0.0
24,7710977755,3614472666,787.5071000307798,435.4310000198893,754.2367000132799,4558.401399990544,497019,164609,356695,823654,34.590631630138866,34.590631630138866,34.59063163013887,34.590631630138866,True,True,True,True,True,7.105427357601002e-15,7.105427357601002e-15
25,7698090285,7687500228,359.6419999958016,161.7375000496395,392.3699999577366,2727.176700020209,242492,64265,193860,562078,23.349463700018912,23.349463700018912,23.3494637000189,23.349463700018912,True,True,True,True,True,1.0658141036401503e-14,1.0658141036401503e-14
26,7675789261,6432145811,154.29989999393,7.876299961935729,81.37430000351742,692.4810000346042,77140,2989,42894,156232,8.869687246550475,8.869687246550475,8.86968724655048,8.869687246550475,True,True,True,True,True,5.329070518200751e-15,5.329070518200751e-15
27,3598273756,3812514680,868.8052000361495,633.3329000044614,720.8823999972083,4927.373200014699,496038,223012,352419,891634,39.4851931781833,39.4851931781833,39.48519317818328,39.4851931781833,True,True,True,True,True,2.1316282072803006e-14,2.1316282072803006e-14
28,3598263588,11478587515,651.69510000851,154.66930001275614,427.229399967473,3307.6366999885067,336072,54747,186339,617568,18.33242182284318,18.33242182284318,18.332421822843187,18.33242182284318,True,True,True,True,True,7.105427357601002e-15,7.105427357601002e-15
29,3550388659,4204520248,973.0459000566043,391.59959997050464,610.1519999792799,4088.601599971298,447277,124980,227509,611692,32.59820166669568,32.59820166669568,32.598201666695694,32.59820166669568,True,True,True,True,True,1.4210854715202004e-14,1.4210854715202004e-14
30,12061046452,9938825076,949.2743999580853,403.06530002271757,888.4605999919586,5262.554399960209,372475,107230,260070,843048,23.20769206839906,23.20769206839906,23.207692068399062,23.20769206839906,True,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
