route,source,target,dijkstra_time_ms,astar_time_ms,bidirectional_dijkstra_time_ms,dijkstra_nodes,astar_nodes,bidirectional_dijkstra_nodes,dijkstra_distance_km,astar_distance_km,bidirectional_dijkstra_distance_km,dijkstra_path_valid,astar_path_valid,bidirectional_dijkstra_path_valid,valid,max_distance_difference_km,path_distance_difference_km
16,3612572282,2236889818,12.470000016037375,6.913800025358796,25.015899969730526,11101,3465,15315,7.28399616378675,7.28399616378675,7.283996163786749,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
17,3612569333,7710618452,24.365800025407225,25.668300047982484,28.34429999347776,19424,11162,17755,9.618167834916855,9.618167834916855,9.61816783491686,True,True,True,True,5.329070518200751e-15,5.329070518200751e-15
18,6162865105,7713048879,24.19319999171421,7.322999997995794,18.387900025118142,20415,3214,11300,6.282928494549155,6.282928494549155,6.282928494549152,True,True,True,True,2.6645352591003757e-15,2.6645352591003757e-15
19,13994484623,2234946379,13.876100012566894,5.821899976581335,6.202699965797365,11375,3218,4459,4.274589744811727,4.274589744811727,4.274589744811726,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
20,11987556629,3612564929,4.336600017268211,2.1445999736897647,2.6680000009946525,3836,999,2015,2.4630273946112102,2.4630273946112102,2.4630273946112107,True,True,True,True,4.440892098500626e-16,4.440892098500626e-16
21,3612572079,2584898243,15.45599999371916,18.523700011428446,30.24410002399236,13123,7285,16638,7.561969573275522,7.561969573275522,7.561969573275517,True,True,True,True,4.440892098500626e-15,4.440892098500626e-15
22,2234830453,11064185666,24.96510004857555,19.537399988621473,30.562200001440942,22231,9509,16533,7.843805696931343,7.843805696931343,7.843805696931336,True,True,True,True,7.105427357601002e-15,7.105427357601002e-15
23,2236890030,1596679883,22.147600015159696,3.6626000073738396,11.902900005225092,17691,1450,7746,5.0202899326769135,5.0202899326769135,5.020289932676912,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
24,2590037484,5764991516,17.740999988745898,14.625600015278906,13.047799991909415,15134,4826,9418,7.151261720384085,7.151261720384085,7.151261720384083,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
25,1596517443,2241237705,18.612499989103526,6.656699988525361,15.069200017023832,17270,3121,10703,7.367129794831378,7.367129794831378,7.367129794831376,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
26,3612567705,7960251770,17.08130002953112,6.058999977540225,13.801000022795051,16475,2907,9149,5.291066755100575,5.291066755100575,5.291066755100571,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
27,2241238106,1316859833,29.609400022309273,15.031900024041533,20.8000999991782,22844,7150,13981,9.489375376490957,9.489375376490957,9.489375376490955,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
28,13344412537,3612566296,15.423800039570779,2.7209999971091747,10.42010000674054,14241,1401,6747,4.107897682677475,4.107897682677475,4.107897682677476,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
29,6115352053,1891818334,21.172800043132156,11.907099978998303,11.802299995906651,17000,5907,7226,6.006948190643096,6.006948190643096,6.006948190643096,True,True,True,True,0.0,0.0
30,2236749673,2236748416,12.047399999573827,5.611500004306436,7.548499968834221,9644,2997,5145,4.296661979374013,4.296661979374013,4.296661979374015,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
